Code zone,Zone,Code année,Année,Unité,Valeur
2,Afghanistan,2013,2013,millions,7.9
202,Afrique du Sud,2013,2013,millions,2.6
3,Albanie,2013,2013,millions,0.2
4,Algérie,2013,2013,millions,1.7
79,Allemagne,2013,2013,millions,
6,Andorre,2013,2013,millions,
7,Angola,2013,2013,millions,8.1
8,Antigua-et-Barbuda,2013,2013,millions,
194,Arabie saoudite,2013,2013,millions,1.6
9,Argentine,2013,2013,millions,1.5
1,Arménie,2013,2013,millions,0.1
10,Australie,2013,2013,millions,
11,Autriche,2013,2013,millions,
52,Azerbaïdjan,2013,2013,millions,
12,Bahamas,2013,2013,millions,
13,Bahreïn,2013,2013,millions,
16,Bangladesh,2013,2013,millions,26.1
14,Barbade,2013,2013,millions,
57,Bélarus,2013,2013,millions,
255,Belgique,2013,2013,millions,
23,Belize,2013,2013,millions,
53,Bénin,2013,2013,millions,1.0
17,Bermudes,2013,2013,millions,
18,Bhoutan,2013,2013,millions,
19,Bolivie (État plurinational de),2013,2013,millions,2.2
80,Bosnie-Herzégovine,2013,2013,millions,
20,Botswana,2013,2013,millions,0.5
21,Brésil,2013,2013,millions,
26,Brunéi Darussalam,2013,2013,millions,
27,Bulgarie,2013,2013,millions,0.4
233,Burkina Faso,2013,2013,millions,3.4
29,Burundi,2013,2013,millions,
35,Cabo Verde,2013,2013,millions,
115,Cambodge,2013,2013,millions,2.8
32,Cameroun,2013,2013,millions,1.7
33,Canada,2013,2013,millions,
40,Chili,2013,2013,millions,0.6
351,Chine,2013,2013,millions,137.7
50,Chypre,2013,2013,millions,
44,Colombie,2013,2013,millions,4.1
45,Comores,2013,2013,millions,
46,Congo,2013,2013,millions,1.8
48,Costa Rica,2013,2013,millions,0.3
107,Côte d'Ivoire,2013,2013,millions,4.7
98,Croatie,2013,2013,millions,
49,Cuba,2013,2013,millions,
54,Danemark,2013,2013,millions,
72,Djibouti,2013,2013,millions,0.2
55,Dominique,2013,2013,millions,
59,Égypte,2013,2013,millions,3.9
60,El Salvador,2013,2013,millions,0.7
225,Émirats arabes unis,2013,2013,millions,0.4
58,Équateur,2013,2013,millions,1.3
178,Érythrée,2013,2013,millions,
203,Espagne,2013,2013,millions,
63,Estonie,2013,2013,millions,
209,Eswatini,2013,2013,millions,0.3
231,États-Unis d'Amérique,2013,2013,millions,
238,Éthiopie,2013,2013,millions,25.3
185,Fédération de Russie,2013,2013,millions,
66,Fidji,2013,2013,millions,
67,Finlande,2013,2013,millions,
68,France,2013,2013,millions,
74,Gabon,2013,2013,millions,0.2
75,Gambie,2013,2013,millions,0.2
73,Géorgie,2013,2013,millions,0.3
81,Ghana,2013,2013,millions,1.6
84,Grèce,2013,2013,millions,
86,Grenade,2013,2013,millions,
85,Groenland,2013,2013,millions,
89,Guatemala,2013,2013,millions,2.5
90,Guinée,2013,2013,millions,1.8
61,Guinée équatoriale,2013,2013,millions,
175,Guinée-Bissau,2013,2013,millions,0.4
91,Guyana,2013,2013,millions,
93,Haïti,2013,2013,millions,5.2
95,Honduras,2013,2013,millions,1.3
97,Hongrie,2013,2013,millions,
47,Îles Cook,2013,2013,millions,
127,Îles Marshall,2013,2013,millions,
25,Îles Salomon,2013,2013,millions,
100,Inde,2013,2013,millions,216.3
101,Indonésie,2013,2013,millions,22.6
102,Iran (République islamique d'),2013,2013,millions,4.2
103,Iraq,2013,2013,millions,9.1
104,Irlande,2013,2013,millions,
99,Islande,2013,2013,millions,
105,Israël,2013,2013,millions,
106,Italie,2013,2013,millions,
109,Jamaïque,2013,2013,millions,0.3
110,Japon,2013,2013,millions,
112,Jordanie,2013,2013,millions,0.9
108,Kazakhstan,2013,2013,millions,
114,Kenya,2013,2013,millions,10.0
113,Kirghizistan,2013,2013,millions,0.4
83,Kiribati,2013,2013,millions,
118,Koweït,2013,2013,millions,
122,Lesotho,2013,2013,millions,0.3
119,Lettonie,2013,2013,millions,
121,Liban,2013,2013,millions,0.5
123,Libéria,2013,2013,millions,1.6
124,Libye,2013,2013,millions,
126,Lituanie,2013,2013,millions,
256,Luxembourg,2013,2013,millions,
154,Macédoine du Nord,2013,2013,millions,
129,Madagascar,2013,2013,millions,8.2
131,Malaisie,2013,2013,millions,1.0
130,Malawi,2013,2013,millions,3.2
132,Maldives,2013,2013,millions,
133,Mali,2013,2013,millions,1.0
134,Malte,2013,2013,millions,
143,Maroc,2013,2013,millions,1.4
137,Maurice,2013,2013,millions,
136,Mauritanie,2013,2013,millions,0.3
138,Mexique,2013,2013,millions,5.3
145,Micronésie (États fédérés de),2013,2013,millions,
141,Mongolie,2013,2013,millions,0.5
273,Monténégro,2013,2013,millions,
144,Mozambique,2013,2013,millions,7.0
28,Myanmar,2013,2013,millions,6.6
147,Namibie,2013,2013,millions,0.7
148,Nauru,2013,2013,millions,
149,Népal,2013,2013,millions,2.5
157,Nicaragua,2013,2013,millions,1.1
158,Niger,2013,2013,millions,1.9
159,Nigéria,2013,2013,millions,13.4
160,Nioué,2013,2013,millions,
162,Norvège,2013,2013,millions,
153,Nouvelle-Calédonie,2013,2013,millions,
156,Nouvelle-Zélande,2013,2013,millions,
221,Oman,2013,2013,millions,0.2
226,Ouganda,2013,2013,millions,12.6
235,Ouzbékistan,2013,2013,millions,2.1
165,Pakistan,2013,2013,millions,38.1
180,Palaos,2013,2013,millions,
299,Palestine,2013,2013,millions,
166,Panama,2013,2013,millions,0.4
168,Papouasie-Nouvelle-Guinée,2013,2013,millions,
169,Paraguay,2013,2013,millions,0.8
150,Pays-Bas,2013,2013,millions,
170,Pérou,2013,2013,millions,2.8
171,Philippines,2013,2013,millions,14.0
173,Pologne,2013,2013,millions,
70,Polynésie française,2013,2013,millions,
177,Porto Rico,2013,2013,millions,
174,Portugal,2013,2013,millions,
179,Qatar,2013,2013,millions,
212,République arabe syrienne,2013,2013,millions,
37,République centrafricaine,2013,2013,millions,2.0
117,République de Corée,2013,2013,millions,
146,République de Moldova,2013,2013,millions,
250,République démocratique du Congo,2013,2013,millions,
120,République démocratique populaire lao,2013,2013,millions,1.2
56,République dominicaine,2013,2013,millions,1.3
116,République populaire démocratique de Corée,2013,2013,millions,10.6
215,République-Unie de Tanzanie,2013,2013,millions,16.4
183,Roumanie,2013,2013,millions,
229,Royaume-Uni,2013,2013,millions,
184,Rwanda,2013,2013,millions,3.6
189,Sainte-Lucie,2013,2013,millions,
188,Saint-Kitts-et-Nevis,2013,2013,millions,
191,Saint-Vincent-et-les Grenadines,2013,2013,millions,
244,Samoa,2013,2013,millions,
5,Samoa américaines,2013,2013,millions,
193,Sao Tomé-et-Principe,2013,2013,millions,
195,Sénégal,2013,2013,millions,1.9
272,Serbie,2013,2013,millions,0.5
196,Seychelles,2013,2013,millions,
197,Sierra Leone,2013,2013,millions,1.6
200,Singapour,2013,2013,millions,
199,Slovaquie,2013,2013,millions,0.2
198,Slovénie,2013,2013,millions,
201,Somalie,2013,2013,millions,
276,Soudan,2013,2013,millions,8.3
277,Soudan du Sud,2013,2013,millions,
38,Sri Lanka,2013,2013,millions,2.3
210,Suède,2013,2013,millions,
211,Suisse,2013,2013,millions,
207,Suriname,2013,2013,millions,
208,Tadjikistan,2013,2013,millions,
39,Tchad,2013,2013,millions,4.9
167,Tchéquie (la),2013,2013,millions,
216,Thaïlande,2013,2013,millions,5.6
176,Timor-Leste,2013,2013,millions,0.3
217,Togo,2013,2013,millions,1.3
218,Tokélaou,2013,2013,millions,
219,Tonga,2013,2013,millions,
220,Trinité-et-Tobago,2013,2013,millions,
222,Tunisie,2013,2013,millions,0.5
213,Turkménistan,2013,2013,millions,0.3
223,Turquie,2013,2013,millions,
227,Tuvalu,2013,2013,millions,
230,Ukraine,2013,2013,millions,
234,Uruguay,2013,2013,millions,
155,Vanuatu,2013,2013,millions,
236,Venezuela (République bolivarienne du),2013,2013,millions,1.9
237,Viet Nam,2013,2013,millions,10.4
249,Yémen,2013,2013,millions,7.2
251,Zambie,2013,2013,millions,7.0
181,Zimbabwe,2013,2013,millions,6.6
