Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","68","France","5511","Production","2511","Blé et produits","2018","2018","Milliers de tonnes","35798","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5611","Importations - Quantité","2511","Blé et produits","2018","2018","Milliers de tonnes","2349","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5072","Variation de stock","2511","Blé et produits","2018","2018","Milliers de tonnes","-1819","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5911","Exportations - Quantité","2511","Blé et produits","2018","2018","Milliers de tonnes","20446","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5301","Disponibilité intérieure","2511","Blé et produits","2018","2018","Milliers de tonnes","19521","S","Données standardisées"
"FBS","Bilans Alimentaires (2014-)","68","France","5521","Aliments pour animaux","2511","Blé et produits","2018","2018","Milliers de tonnes","7599","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5527","Semences","2511","Blé et produits","2018","2018","Milliers de tonnes","708","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5123","Pertes","2511","Blé et produits","2018","2018","Milliers de tonnes","326","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5131","Traitement","2511","Blé et produits","2018","2018","Milliers de tonnes","1960","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5154","Autres utilisations (non alimentaire)","2511","Blé et produits","2018","2018","Milliers de tonnes","1149","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5170","Résidus","2511","Blé et produits","2018","2018","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","68","France","5142","Nourriture","2511","Blé et produits","2018","2018","Milliers de tonnes","7779","Im","Données de la FAO basées sur une méthodologie d'imputation"
